Dog;Sex;Breed;Age(m);subgroup;subgroup_described;demonstrator;targett.;touchscr.;eyetrack;Sniff_LID_binary;Sniff_DOT_binary;Sniff_lid_dot_binary;dot_blue;dot_yellow;lid(L-to-R);lid(R-to-L);Right_order_dots;copying_fidelity;at_least_1dot;2dots(incorrectly);opening_lid_however;1dot+lid;1dot+lid_corr;2dots+lid;2dots+lid_corr;proxi_lid_BIN;sniff_and_proxi_lid;sniff_and_proxi_lid_AND_opening_lid;just_sniff_AND_opening_the_lid;proxi_dots_BIN;sniff_and_proxi_dots;sniff_proxi_dots_AND_touch;touching_dots;fidelity_IRRELEVANT;fidelity_RELEVANT;
Kafka;2;mix;98;3;irr+rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Arvo;2;galgo;102;3;irr+rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Miley;1;border collie;109;3;irr+rel;experimenter;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;0;0;0;0;0;4;
Tiara;1;border collie;62;3;irr+rel;experimenter;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jasper;2;labradoodle;100;3;irr+rel;experimenter;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Mia5;1;mix;83;3;irr+rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;
Milo4;2;labradoodle;86;3;irr+rel;experimenter;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Sheila;1;mix;68;3;irr+rel;experimenter;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;2;2;1;0;1;1;3;3;
Gismo4;2;mix;43;3;irr+rel;experimenter;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;1;4;
Kobe;2;mix;59;3;irr+rel;experimenter;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;2;
Kylie;1;australian_shepherd;16;3;irr+rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Emma8;1;mix;48;3;irr+rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Hansi;2;beagle;74;3;irr+rel;experimenter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;
Pepper;1;mix;59;3;irr+rel;experimenter;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;1;1;0;2;4;
